Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,Autenticacao,TipoVeiculo,SiglaCombustivel,DataConsulta
"R$ 107.281,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2012,Diesel,060008-3,outubro de 2023 ,gc3n5b0xmkcl1,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 91.559,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2011,Diesel,060008-3,outubro de 2023 ,cfyvb444h6tgk,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 73.413,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2010,Diesel,060008-3,outubro de 2023 ,622t0945y1cb,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 69.299,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2009,Diesel,060008-3,outubro de 2023 ,5jvh9glswg9c,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 65.246,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2008,Diesel,060008-3,outubro de 2023 ,30bcwkl2vr54,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 412.199,00",Agrale,MARRUÁ AM 200 Microbus 2.8 TDI Diesel,2022,Diesel,060009-1,outubro de 2023 ,txmh922hq9dm9,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 385.020,00",Agrale,MARRUÁ AM 200 Microbus 2.8 TDI Diesel,2021,Diesel,060009-1,outubro de 2023 ,swrm61kzxfdj2,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 415.265,00",Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel,2022,Diesel,060010-5,outubro de 2023 ,t06yyqxvkjdm9,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 388.697,00",Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel,2021,Diesel,060010-5,outubro de 2023 ,s0189ks6h0dj2,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 791.200,00",Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel E6,32000,Diesel,060011-3,outubro de 2023 ,87z1xyhsz7j1gy,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 622.102,00",Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel E6,2023,Diesel,060011-3,outubro de 2023 ,2vqvrrjzltdrj,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 627.675,00",Agrale,MARRUÁ AM 250 3.8 CD TDI Diesel (E6),32000,Diesel,060012-1,outubro de 2023 ,218d5g3ffkj1gy,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 511.647,00",Agrale,MARRUÁ AM 250 3.8 CD TDI Diesel (E6),2023,Diesel,060012-1,outubro de 2023 ,yn64x8rp53drj,1,D,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 20.696,00",Alfa Romeo,145 Elegant 2.0 16V,1998,Gasolina,006001-1,outubro de 2023 ,k4zs4dk044,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 16.981,00",Alfa Romeo,145 Elegant 2.0 16V,1997,Gasolina,006001-1,outubro de 2023 ,jrfh4zjn0q,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 16.566,00",Alfa Romeo,145 Elegant 2.0 16V,1996,Gasolina,006001-1,outubro de 2023 ,jlkn3t02nk,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 13.218,00",Alfa Romeo,145 Elegant 2.0 16V,1995,Gasolina,006001-1,outubro de 2023 ,g99sbfjm4b,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 26.362,00",Alfa Romeo,145 Quadrifoglio 2.0,1999,Gasolina,006002-0,outubro de 2023 ,m9d632tvh9,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 25.719,00",Alfa Romeo,145 Quadrifoglio 2.0,1998,Gasolina,006002-0,outubro de 2023 ,m1wh2t024c,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 20.390,00",Alfa Romeo,145 Quadrifoglio 2.0,1997,Gasolina,006002-0,outubro de 2023 ,k1dk8cpb2m,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 19.892,00",Alfa Romeo,145 Quadrifoglio 2.0,1996,Gasolina,006002-0,outubro de 2023 ,kvkk0swfv2,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 19.309,00",Alfa Romeo,155,1997,Gasolina,006003-8,outubro de 2023 ,kmqn0zt2ytc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 18.838,00",Alfa Romeo,155,1996,Gasolina,006003-8,outubro de 2023 ,kf6g0cc1yjc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 14.272,00",Alfa Romeo,155,1995,Gasolina,006003-8,outubro de 2023 ,hqnwbgqqvrc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 22.980,00",Alfa Romeo,155 Super,1997,Gasolina,006004-6,outubro de 2023 ,l0ry7gjjgqc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 22.419,00",Alfa Romeo,155 Super,1996,Gasolina,006004-6,outubro de 2023 ,ls514bw7rxc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 15.728,00",Alfa Romeo,155 Super,1995,Gasolina,006004-6,outubro de 2023 ,h8q2w0jl7dc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 24.379,00",Alfa Romeo,164 3.0 V6,1996,Gasolina,006005-4,outubro de 2023 ,mj5gj7pj12c,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 23.093,00",Alfa Romeo,164 3.0 V6,1995,Gasolina,006005-4,outubro de 2023 ,l121gq21hbc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 20.915,00",Alfa Romeo,164 3.0 V6,1994,Gasolina,006005-4,outubro de 2023 ,k7kdqpst2qc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 12.862,00",Alfa Romeo,164 3.0 V6,1993,Gasolina,006005-4,outubro de 2023 ,g54c2hc9zjc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 9.470,00",Alfa Romeo,164 3.0 V6,1992,Gasolina,006005-4,outubro de 2023 ,cg4pz6fc3p3,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 8.240,00",Alfa Romeo,164 3.0 V6,1991,Gasolina,006005-4,outubro de 2023 ,cbhg966xjd0,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 24.913,00",Alfa Romeo,164 Super V6 24V,1996,Gasolina,006006-2,outubro de 2023 ,mrfkfd19p0c,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 24.305,00",Alfa Romeo,164 Super V6 24V,1995,Gasolina,006006-2,outubro de 2023 ,mh9krgl6mmc,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
"R$ 134.473,00",Alfa Romeo,Spider 2.0/3.0,1997,Gasolina,006007-0,outubro de 2023 ,hdz0xgs8t8p,1,G,"segunda-feira, 16 de outubro de 2023 16:20"
