Label,Value,codigo_tabela_referencia,codigo_fipe,ano_modelo,codigo_tipo_combustivel
1997 Gasolina,1997-1,302,006003-8,1997,1
1996 Gasolina,1996-1,302,006003-8,1996,1
1995 Gasolina,1995-1,302,006003-8,1995,1
1997 Gasolina,1997-1,302,006004-6,1997,1
1996 Gasolina,1996-1,302,006004-6,1996,1
1995 Gasolina,1995-1,302,006004-6,1995,1
1996 Gasolina,1996-1,302,006005-4,1996,1
1995 Gasolina,1995-1,302,006005-4,1995,1
1994 Gasolina,1994-1,302,006005-4,1994,1
1993 Gasolina,1993-1,302,006005-4,1993,1
1992 Gasolina,1992-1,302,006005-4,1992,1
1991 Gasolina,1991-1,302,006005-4,1991,1
1996 Gasolina,1996-1,302,006006-2,1996,1
1995 Gasolina,1995-1,302,006006-2,1995,1
1997 Gasolina,1997-1,302,006007-0,1997,1
1996 Gasolina,1996-1,302,006007-0,1996,1
1995 Gasolina,1995-1,302,006007-0,1995,1
1993 Gasolina,1993-1,302,006007-0,1993,1
1992 Gasolina,1992-1,302,006007-0,1992,1
1991 Gasolina,1991-1,302,006007-0,1991,1
1998 Gasolina,1998-1,302,006008-9,1998,1
1997 Gasolina,1997-1,302,006008-9,1997,1
1996 Gasolina,1996-1,302,006008-9,1996,1
1999 Gasolina,1999-1,302,006009-7,1999,1
1998 Gasolina,1998-1,302,006009-7,1998,1
1997 Gasolina,1997-1,302,006009-7,1997,1
1996 Gasolina,1996-1,302,006009-7,1996,1
2002 Gasolina,2002-1,302,006010-0,2002,1
2001 Gasolina,2001-1,302,006010-0,2001,1
2000 Gasolina,2000-1,302,006010-0,2000,1
1999 Gasolina,1999-1,302,006010-0,1999,1
2003 Gasolina,2003-1,302,006011-9,2003,1
2002 Gasolina,2002-1,302,006011-9,2002,1
2001 Gasolina,2001-1,302,006011-9,2001,1
2000 Gasolina,2000-1,302,006011-9,2000,1
1999 Gasolina,1999-1,302,006011-9,1999,1
1986 Gasolina,1986-1,302,006013-5,1986,1
1985 Gasolina,1985-1,302,006013-5,1985,1
2002 Gasolina,2002-1,302,006014-3,2002,1
2001 Gasolina,2001-1,302,006014-3,2001,1
2003 Gasolina,2003-1,302,006015-1,2003,1
1999 Gasolina,1999-1,302,006015-1,1999,1
2004 Gasolina,2004-1,302,006016-0,2004,1
